,realSum_wd,room_type,person_capacity,host_is_superhost,cleanliness_rating,guest_satisfaction_overall,bedrooms,lng,lat,realSum_we,city,distance,metro_distance,biz_type,booking_days
16751,698.04,Entire home/apt,4.0,False,8.0,60.0,2,-0.18787,51.51392,695.69,london,4.2,0.2,biz,any day
16752,108.66,Private room,2.0,False,10.0,96.0,0,0.07436,51.48687,108.19,london,14.2,5.1,one,any day
16753,174.51,Private room,2.0,False,10.0,96.0,1,-0.02351,51.53841,173.8,london,8.0,1.2,one,any day
16754,387.83,Entire home/apt,4.0,False,8.0,80.0,2,-0.07578,51.5316,386.65,london,4.4,1.0,one,any day
16755,310.45,Entire home/apt,2.0,False,10.0,100.0,1,-0.20195,51.55169,309.27,london,7.1,0.5,multi,any day
16756,232.84,Private room,2.0,False,8.0,80.0,1,-0.17707,51.49505,234.72,london,3.7,0.3,biz,any day
16757,234.01,Private room,2.0,False,8.0,80.0,1,-0.17723,51.49504,,london,3.8,0.3,biz,weekdays only
16758,234.01,Private room,2.0,False,8.0,60.0,1,-0.1768799999999999,51.49553,229.54,london,3.7,0.3,biz,any day
16759,235.42,Private room,2.0,False,9.0,93.0,1,-0.17824,51.49524,231.9,london,3.8,0.3,biz,any day
16760,284.58,Private room,2.0,False,9.0,90.0,1,-0.1769,51.49444,283.4,london,3.8,0.2,biz,any day
16761,641.13,Entire home/apt,6.0,False,10.0,100.0,3,-0.11244,51.46835,670.05,london,4.6,0.7,one,any day
16762,232.84,Private room,2.0,True,10.0,100.0,1,-0.13956,51.46513,245.07,london,4.9,0.4,multi,any day
16763,316.56,Entire home/apt,4.0,False,8.0,85.0,0,-0.14507,51.53706,,london,3.4,0.3,biz,weekdays only
16764,387.83,Private room,3.0,False,8.0,100.0,1,-0.1358599999999999,51.51897,386.65,london,1.3,0.2,biz,any day
16765,170.51,Private room,2.0,False,10.0,95.0,1,-0.12493,51.52443,188.15,london,1.8,0.2,multi,any day
16766,90.55,Private room,2.0,False,9.0,100.0,2,-0.0771299999999999,51.47372,90.31,london,5.2,2.6,multi,any day
16767,191.21,Private room,2.0,False,9.0,70.0,1,-0.1180799999999999,51.52713,186.98,london,2.2,0.5,biz,any day
16768,234.01,Private room,2.0,True,10.0,94.0,1,-0.1215,51.5197,238.95,london,1.3,0.3,one,any day
16769,90.55,Private room,2.0,False,10.0,100.0,1,-0.04913,51.467490000000005,90.31,london,7.1,3.4,one,any day
16770,289.75,Entire home/apt,4.0,False,10.0,100.0,1,-0.09865,51.53016,,london,3.1,0.5,biz,weekdays only
16771,252.12,Entire home/apt,4.0,False,10.0,100.0,1,-0.07551,51.464940000000006,277.05,london,6.0,2.8,multi,any day
16772,69.85,Private room,2.0,False,9.0,93.0,1,-0.1015399999999999,51.44386,82.55,london,7.4,2.3,one,any day
16773,444.74,Entire home/apt,2.0,False,8.0,100.0,1,-0.19938,51.51948,,london,5.1,0.2,one,weekdays only
16774,790.0,Entire home/apt,2.0,False,8.0,100.0,1,-0.16313,51.49276,787.18,london,3.0,0.5,one,any day
16775,461.44,Entire home/apt,4.0,False,8.0,80.0,2,-0.18334,51.54962,544.93,london,6.0,0.3,biz,any day
16776,158.99,Private room,4.0,False,9.0,95.0,2,-0.07131,51.54873,159.22,london,6.0,2.4,multi,any day
16777,465.44,Entire home/apt,4.0,False,10.0,96.0,2,-0.22693,51.49545,464.03,london,7.1,0.2,multi,any day
16778,233.78,Entire home/apt,4.0,False,8.0,80.0,0,-0.0335,51.52228,258.94,london,6.7,0.3,one,any day
16779,157.81,Private room,3.0,False,8.0,96.0,1,-0.20621,51.5502,157.34,london,7.2,0.3,one,any day
16780,169.34,Private room,2.0,False,10.0,80.0,1,-0.13559,51.46165,168.87,london,5.2,0.2,multi,any day
16781,204.38,Private room,5.0,False,6.0,60.0,1,-0.08596,51.52605,,london,3.5,0.1,biz,weekdays only
16782,204.38,Private room,5.0,False,9.0,84.0,1,-0.08556,51.52651,,london,3.5,0.1,biz,weekdays only
16783,474.38,Entire home/apt,4.0,False,10.0,90.0,1,-0.1013,51.53957,480.73,london,3.9,0.7,biz,any day
16784,271.41,Entire home/apt,2.0,False,10.0,100.0,0,-0.16691,51.49322,,london,3.2,0.5,biz,weekdays only
16785,147.46,Private room,4.0,False,10.0,60.0,1,-0.12559,51.52713,,london,2.1,0.4,biz,weekdays only
16786,400.76,Entire home/apt,6.0,False,10.0,100.0,2,-0.04169,51.52232,371.13,london,6.2,0.3,biz,any day
16787,98.07,Private room,2.0,False,10.0,100.0,1,-0.12838,51.562090000000005,108.19,london,6.0,0.6,one,any day
16788,396.76,Entire home/apt,6.0,False,8.0,96.0,2,-0.05797,51.53156,,london,5.5,0.5,multi,weekdays only
16789,987.56,Entire home/apt,4.0,False,10.0,80.0,1,-0.16834,51.49945,842.68,london,3.0,0.6,biz,any day
16790,168.16,Private room,2.0,False,10.0,100.0,0,-0.20786,51.5219,167.69,london,5.8,0.5,multi,any day
16791,129.12,Private room,2.0,False,6.0,20.0,1,-0.11287,51.45074,128.88,london,6.5,1.3,one,any day
16792,290.69,Entire home/apt,3.0,False,10.0,80.0,0,-0.01585,51.46346,291.4,london,9.2,4.3,one,any day
16793,129.35,Private room,2.0,False,10.0,100.0,1,-0.11042,51.42448,144.88,london,9.4,3.5,multi,any day
